Name,PersonID,Team,HeadshotURL
Precious Achiuwa,1630173,Sacramento Kings,https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png
Steven Adams,203500,Houston Rockets,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
Bam Adebayo,1628389,Miami Heat,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
Ochai Agbaji,1630534,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/1630534.png
Santi Aldama,1630583,Memphis Grizzlies,https://cdn.nba.com/headshots/nba/latest/1040x760/1630583.png
Trey Alexander,1641725,New Orleans Pelicans,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png
Nickeil Alexander-Walker,1629638,Atlanta Hawks,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png
Grayson Allen,1628960,Phoenix Suns,https://cdn.nba.com/headshots/nba/latest/1040x760/1628960.png
Jarrett Allen,1628386,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
Jose Alvarado,1630631,New Orleans Pelicans,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
Kyle Anderson,203937,Utah Jazz,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
Alex Antetokounmpo,1630828,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/1630828.png
Giannis Antetokounmpo,203507,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png
Thanasis Antetokounmpo,203648,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png
Cole Anthony,1630175,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png
OG Anunoby,1628384,New York Knicks,https://cdn.nba.com/headshots/nba/latest/1040x760/1628384.png
Deni Avdija,1630166,Portland Trail Blazers,https://cdn.nba.com/headshots/nba/latest/1040x760/1630166.png
Deandre Ayton,1629028,Los Angeles Lakers,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png
Marvin Bagley III,1628963,Washington Wizards,https://cdn.nba.com/headshots/nba/latest/1040x760/1628963.png
Ace Bailey,1642846,Utah Jazz,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png
LaMelo Ball,1630163,Charlotte Hornets,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
Lonzo Ball,1628366,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1628366.png
Mo Bamba,1628964,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628964.png
Paolo Banchero,1631094,Orlando Magic,https://cdn.nba.com/headshots/nba/latest/1040x760/1631094.png
Desmond Bane,1630217,Orlando Magic,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png
Dominick Barlow,1631230,Philadelphia 76ers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631230.png
Harrison Barnes,203084,San Antonio Spurs,https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png
Scottie Barnes,1630567,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/1630567.png
Brooks Barnhizer,1642964,Oklahoma City Thunder,https://cdn.nba.com/headshots/nba/latest/1040x760/1642964.png
RJ Barrett,1629628,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png
Charles Bassey,1629646,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629646.png
Tamar Bates,1642926,Denver Nuggets,https://cdn.nba.com/headshots/nba/latest/1040x760/1642926.png
Jamison Battle,1642419,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/1642419.png
